Ref,Val,Package,PosX,PosY,Rot,Side
"U1","","XIAO-RP2040_preSoldered_header",60.000000,-122.500000,0.000000,bottom
"C1","","THT_passive",44.000000,-50.000000,0.000000,top
"C2","","THT_passive",69.000000,-50.000000,0.000000,top
"C3","","THT_passive",47.000000,-114.000000,0.000000,top
"D1","","WS2812B_5050",74.000000,-38.000000,0.000000,top
"H1","","MountingHole_M2",41.500000,-34.000000,0.000000,top
"H2","","MountingHole_M2",78.500000,-34.000000,0.000000,top
"H3","","MountingHole_M2",41.500000,-124.000000,0.000000,top
"H4","","MountingHole_M2",78.500000,-124.000000,0.000000,top
"MK1","","MicBreakout_SPH0645-style",60.000000,-40.000000,0.000000,top
"R1","","THT_passive",68.000000,-43.500000,0.000000,top
"SW1","","Kailh_Choc_V1",51.000000,-60.000000,0.000000,top
"SW2","","Kailh_Choc_V1",69.000000,-60.000000,0.000000,top
"SW3","","Kailh_Choc_V1",51.000000,-77.000000,0.000000,top
"SW4","","Kailh_Choc_V1",69.000000,-77.000000,0.000000,top
"SW5","","Kailh_Choc_V1",60.000000,-98.000000,0.000000,top
"SW6","","CK_OS102011MA1QN1",80.050000,-46.000000,0.000000,top
